"filename", "language", "Markdown", "JavaScript", "JSON", "CSS", "JSON with Comments", "XML", "TypeScript", "HTML", "SCSS", "comment", "blank", "total"
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/nodemon.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/package.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 1, 58
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/frozenTokenAbi.json", "JSON", 0, 0, 953, 0, 0, 0, 0, 0, 0, 0, 0, 953
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/gateWayAbi.json", "JSON", 0, 0, 506, 0, 0, 0, 0, 0, 0, 0, 0, 506
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/spContract.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/swapFactory.json", "JSON", 0, 0, 1349, 0, 0, 0, 0, 0, 0, 0, 0, 1349
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/abis/tokenAbi.json", "JSON", 0, 0, 768, 0, 0, 0, 0, 0, 0, 0, 0, 768
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/controllers/BinanceCex.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 980, 0, 0, 30, 151, 1161
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/controllers/MexcCex.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1023, 0, 0, 32, 159, 1214
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/controllers/swapProvider.controller.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 700, 0, 0, 33, 120, 853
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/helpers/MexcRequest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 600, 0, 0, 34, 102, 736
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/helpers/axiosRequest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 7, 41
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/helpers/helper.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/interfaces/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/listners/bscBlock.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/listners/bscListner.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 6, 49
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/listners/ethBlock.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/listners/ethListner.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 8, 61
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/middlewares/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/middlewares/validateRequests.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 4, 26
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/models/SwapProvider.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 234, 0, 0, 0, 10, 244
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/models/SwapProviderMexcTest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 4, 92
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/models/SwapProviderTest.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 4, 92
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/models/order.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 130, 0, 0, 7, 11, 148
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/routes/routes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 2, 7, 23
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/taskScheduler/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 81, 0, 0, 7, 16, 104
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/api/v1/validations/requestValidations.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 104, 0, 0, 4, 17, 125
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/app.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 4, 8, 31
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/config/constants.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 7, 74
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/config/dbconnect.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/config/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/src/config/logger.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/server/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 11, 0, 0, 0, 0, 54, 8, 73
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/App.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 4, 59
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/bridgeContract.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/erc20TokenAbi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/expediteAbi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/frozenTokenAbi.json", "JSON", 0, 0, 953, 0, 0, 0, 0, 0, 0, 0, 0, 953
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/gateWayAbi.json", "JSON", 0, 0, 506, 0, 0, 0, 0, 0, 0, 0, 0, 506
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/reimbursementAbi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/spContract.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/swapFactory.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/swapPairAbi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/tokenAbi.json", "JSON", 0, 0, 768, 0, 0, 0, 0, 0, 0, 0, 0, 768
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/abis/tokenVaultAbi.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/assets/AboutPopup.css", "CSS", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 1, 84
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/assets/CloneFormPopup.css", "CSS", 0, 0, 0, 373, 0, 0, 0, 0, 0, 25, 68, 466
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/CreateLicense.js", "JavaScript", 0, 268, 0, 0, 0, 0, 0, 0, 0, 19, 43, 330
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Deposit-withdraw.js", "JavaScript", 0, 222, 0, 0, 0, 0, 0, 0, 0, 7, 41, 270
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/DropDown.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Header/HeadFreeListing.js", "JavaScript", 0, 215, 0, 0, 0, 0, 0, 0, 0, 18, 29, 262
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Header/Header.js", "JavaScript", 0, 282, 0, 0, 0, 0, 0, 0, 0, 23, 8, 313
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Header/Header03.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 1, 18, 75
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory.js", "JavaScript", 0, 94, 0, 0, 0, 0, 0, 0, 0, 139, 8, 241
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory/LedgerHistory.js", "JavaScript", 0, 192, 0, 0, 0, 0, 0, 0, 0, 2, 27, 221
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory/OrderInformation.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 8, 59
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory/status/FulfilledOrder.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 60, 8, 124
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LedgerHistory/status/PendingOrder.js", "JavaScript", 0, 212, 0, 0, 0, 0, 0, 0, 0, 7, 24, 243
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LiquidityProvider/ActiveContract.js", "JavaScript", 0, 1239, 0, 0, 0, 0, 0, 0, 0, 30, 125, 1394
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LiquidityProvider/LiquidityProvider.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 1, 14, 116
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LiquidityProvider/SpContractDeployForm.js", "JavaScript", 0, 1048, 0, 0, 0, 0, 0, 0, 0, 17, 95, 1160
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/LiquidityProvider/SpIntroduction.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/Navigations/RightSideMenu.js", "JavaScript", 0, 256, 0, 0, 0, 0, 0, 0, 0, 37, 6, 299
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/RightSideMenu.js", "JavaScript", 0, 255, 0, 0, 0, 0, 0, 0, 0, 37, 5, 297
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/SmartEcoSystemFeatures.js", "JavaScript", 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 1, 238
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/AddCustomToken.js", "JavaScript", 0, 268, 0, 0, 0, 0, 0, 0, 0, 0, 35, 303
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/DeployerOwnershipIntroduction.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 0, 0, 0, 15, 215
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/DownloadValidatorFile.js", "JavaScript", 0, 223, 0, 0, 0, 0, 0, 0, 0, 0, 25, 248
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/FreeListing.js", "JavaScript", 0, 590, 0, 0, 0, 0, 0, 0, 0, 8, 76, 674
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/ListWrappedTokens.js", "JavaScript", 0, 256, 0, 0, 0, 0, 0, 0, 0, 0, 27, 283
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/SelectDestinationChains.js", "JavaScript", 0, 258, 0, 0, 0, 0, 0, 0, 0, 2, 38, 298
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/SelectToken.js", "JavaScript", 0, 435, 0, 0, 0, 0, 0, 0, 0, 19, 48, 502
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/SetEmail.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 17, 143
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/SetupSuccessfully.js", "JavaScript", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 12, 213
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/TransferDeployerOwnership.js", "JavaScript", 0, 342, 0, 0, 0, 0, 0, 0, 0, 1, 41, 384
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/VerifyAndAddToken.js", "JavaScript", 0, 198, 0, 0, 0, 0, 0, 0, 0, 43, 24, 265
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/Welcome.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 11, 137
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/free-listing/WrapTokenOnDestinationChain.js", "JavaScript", 0, 574, 0, 0, 0, 0, 0, 0, 0, 43, 54, 671
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/About.js", "JavaScript", 0, 310, 0, 0, 0, 0, 0, 0, 0, 14, 49, 373
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/CefiToDefi.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 21, 97
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/CoinPopup.js", "JavaScript", 0, 129, 0, 0, 0, 0, 0, 0, 0, 12, 7, 148
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/HowItWorks.js", "JavaScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 40, 163
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/NoDomain.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 8, 47
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/PeerPopup.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 30, 91
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/SidePopup.js", "JavaScript", 0, 126, 0, 0, 0, 0, 0, 0, 0, 37, 20, 183
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/WalletPopup.js", "JavaScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 6, 106
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/popups/liquidity_fountain_for_SPs.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 1, 14, 54
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/AskMeAnythingVideo.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/CTAButtons.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 1, 28
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/CTAButtons2.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/home/tundak/Projects/judge/SwampV2/UI/SmartSwap_frontend/src/components/sections/HeroSectionVideoOverlay.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
